ValidateRoList log started: 2/24/2026 9:39:18 AM | Init
2/24/2026 9:44:45 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:51 AM | TIMEOUT after 5000ms
2/24/2026 9:44:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:44:56 AM | TIMEOUT after 5000ms
2/24/2026 9:44:56 AM | Performing expanded retry scan from top of screen
2/24/2026 9:44:56 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:02 AM | TIMEOUT after 5000ms
2/24/2026 9:45:02 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:08 AM | TIMEOUT after 5000ms
2/24/2026 9:45:08 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:08 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:45:14 AM | TIMEOUT after 5000ms
2/24/2026 9:45:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:19 AM | TIMEOUT after 5000ms
2/24/2026 9:45:19 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:19 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:25 AM | TIMEOUT after 5000ms
2/24/2026 9:45:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:31 AM | TIMEOUT after 5000ms
2/24/2026 9:45:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:31 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:37 AM | TIMEOUT after 5000ms
2/24/2026 9:45:37 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:37 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:42 AM | TIMEOUT after 5000ms
2/24/2026 9:45:42 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:42 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:48 AM | TIMEOUT after 5000ms
2/24/2026 9:45:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:54 AM | TIMEOUT after 5000ms
2/24/2026 9:45:54 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:54 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:45:59 AM | TIMEOUT after 5000ms
2/24/2026 9:45:59 AM | Performing expanded retry scan from top of screen
2/24/2026 9:45:59 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:46:05 AM | TIMEOUT after 5000ms
2/24/2026 9:46:05 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:11 AM | TIMEOUT after 5000ms
2/24/2026 9:46:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:17 AM | TIMEOUT after 5000ms
2/24/2026 9:46:17 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:17 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:22 AM | TIMEOUT after 5000ms
2/24/2026 9:46:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:22 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:28 AM | TIMEOUT after 5000ms
2/24/2026 9:46:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:28 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:34 AM | TIMEOUT after 5000ms
2/24/2026 9:46:34 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:34 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:39 AM | TIMEOUT after 5000ms
2/24/2026 9:46:39 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:39 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:45 AM | TIMEOUT after 5000ms
2/24/2026 9:46:45 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:45 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:51 AM | TIMEOUT after 5000ms
2/24/2026 9:46:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:46:57 AM | TIMEOUT after 5000ms
2/24/2026 9:46:57 AM | Performing expanded retry scan from top of screen
2/24/2026 9:46:57 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:02 AM | TIMEOUT after 5000ms
2/24/2026 9:47:02 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:02 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:08 AM | TIMEOUT after 5000ms
2/24/2026 9:47:08 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:08 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:14 AM | TIMEOUT after 5000ms
2/24/2026 9:47:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:14 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:19 AM | TIMEOUT after 5000ms
2/24/2026 9:47:19 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:19 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:25 AM | TIMEOUT after 5000ms
2/24/2026 9:47:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:31 AM | TIMEOUT after 5000ms
2/24/2026 9:47:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:31 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:37 AM | TIMEOUT after 5000ms
2/24/2026 9:47:37 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:37 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:42 AM | TIMEOUT after 5000ms
2/24/2026 9:47:42 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:42 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:47:48 AM | TIMEOUT after 5000ms
2/24/2026 9:47:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:48 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:47:54 AM | TIMEOUT after 5000ms
2/24/2026 9:47:54 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:59 AM | TIMEOUT after 5000ms
2/24/2026 9:47:59 AM | Performing expanded retry scan from top of screen
2/24/2026 9:47:59 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:05 AM | TIMEOUT after 5000ms
2/24/2026 9:48:05 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:05 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:11 AM | TIMEOUT after 5000ms
2/24/2026 9:48:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:17 AM | TIMEOUT after 5000ms
2/24/2026 9:48:17 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:17 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:22 AM | TIMEOUT after 5000ms
2/24/2026 9:48:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:22 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:28 AM | TIMEOUT after 5000ms
2/24/2026 9:48:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:28 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:34 AM | TIMEOUT after 5000ms
2/24/2026 9:48:34 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:34 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:40 AM | TIMEOUT after 5000ms
2/24/2026 9:48:40 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:40 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:45 AM | TIMEOUT after 5000ms
2/24/2026 9:48:45 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:45 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:51 AM | TIMEOUT after 5000ms
2/24/2026 9:48:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:48:57 AM | TIMEOUT after 5000ms
2/24/2026 9:48:57 AM | Performing expanded retry scan from top of screen
2/24/2026 9:48:57 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:02 AM | TIMEOUT after 5000ms
2/24/2026 9:49:02 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:02 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:08 AM | TIMEOUT after 5000ms
2/24/2026 9:49:08 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:08 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:14 AM | TIMEOUT after 5000ms
2/24/2026 9:49:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:14 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:20 AM | TIMEOUT after 5000ms
2/24/2026 9:49:20 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:20 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:25 AM | TIMEOUT after 5000ms
2/24/2026 9:49:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:31 AM | TIMEOUT after 5000ms
2/24/2026 9:49:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:31 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:37 AM | TIMEOUT after 5000ms
2/24/2026 9:49:37 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:37 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:49:42 AM | TIMEOUT after 5000ms
2/24/2026 9:49:42 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:42 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:49:48 AM | TIMEOUT after 5000ms
2/24/2026 9:49:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:54 AM | TIMEOUT after 5000ms
2/24/2026 9:49:54 AM | Performing expanded retry scan from top of screen
2/24/2026 9:49:54 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:00 AM | TIMEOUT after 5000ms
2/24/2026 9:50:00 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:00 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:05 AM | TIMEOUT after 5000ms
2/24/2026 9:50:05 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:05 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:11 AM | TIMEOUT after 5000ms
2/24/2026 9:50:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:11 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:17 AM | TIMEOUT after 5000ms
2/24/2026 9:50:17 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:17 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:22 AM | TIMEOUT after 5000ms
2/24/2026 9:50:22 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:22 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:50:28 AM | TIMEOUT after 5000ms
2/24/2026 9:50:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:34 AM | TIMEOUT after 5000ms
2/24/2026 9:50:34 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:34 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:40 AM | TIMEOUT after 5000ms
2/24/2026 9:50:40 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:40 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:45 AM | TIMEOUT after 5000ms
2/24/2026 9:50:45 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:45 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:51 AM | TIMEOUT after 5000ms
2/24/2026 9:50:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:50:57 AM | TIMEOUT after 5000ms
2/24/2026 9:50:57 AM | Performing expanded retry scan from top of screen
2/24/2026 9:50:57 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:03 AM | TIMEOUT after 5000ms
2/24/2026 9:51:03 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:03 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:08 AM | TIMEOUT after 5000ms
2/24/2026 9:51:08 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:08 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:14 AM | TIMEOUT after 5000ms
2/24/2026 9:51:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:14 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:20 AM | TIMEOUT after 5000ms
2/24/2026 9:51:20 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:20 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:25 AM | TIMEOUT after 5000ms
2/24/2026 9:51:25 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:25 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:31 AM | TIMEOUT after 5000ms
2/24/2026 9:51:31 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:31 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:51:37 AM | TIMEOUT after 5000ms
2/24/2026 9:51:37 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:43 AM | TIMEOUT after 5000ms
2/24/2026 9:51:43 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:43 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:51:48 AM | TIMEOUT after 5000ms
2/24/2026 9:51:48 AM | Performing expanded retry scan from top of screen
2/24/2026 9:51:48 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:51:54 AM | TIMEOUT after 5000ms
2/24/2026 9:51:54 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:00 AM | TIMEOUT after 5000ms
2/24/2026 9:52:00 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:00 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:06 AM | TIMEOUT after 5000ms
2/24/2026 9:52:06 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:06 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:11 AM | TIMEOUT after 5000ms
2/24/2026 9:52:11 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:11 AM | EXPANDED MATCH -> (PFC) POST FINAL CHARGES
2/24/2026 9:52:17 AM | TIMEOUT after 5000ms
2/24/2026 9:52:17 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:23 AM | TIMEOUT after 5000ms
2/24/2026 9:52:23 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:23 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:28 AM | TIMEOUT after 5000ms
2/24/2026 9:52:28 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:28 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:34 AM | TIMEOUT after 5000ms
2/24/2026 9:52:34 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:34 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:40 AM | TIMEOUT after 5000ms
2/24/2026 9:52:40 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:40 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:46 AM | TIMEOUT after 5000ms
2/24/2026 9:52:46 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:46 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:51 AM | TIMEOUT after 5000ms
2/24/2026 9:52:51 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:51 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:52:57 AM | TIMEOUT after 5000ms
2/24/2026 9:52:57 AM | Performing expanded retry scan from top of screen
2/24/2026 9:52:57 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:03 AM | TIMEOUT after 5000ms
2/24/2026 9:53:03 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:03 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:09 AM | TIMEOUT after 5000ms
2/24/2026 9:53:09 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:09 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:14 AM | TIMEOUT after 5000ms
2/24/2026 9:53:14 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:14 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:20 AM | TIMEOUT after 5000ms
2/24/2026 9:53:20 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:20 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:26 AM | TIMEOUT after 5000ms
2/24/2026 9:53:26 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:26 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:32 AM | TIMEOUT after 5000ms
2/24/2026 9:53:32 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:32 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:37 AM | TIMEOUT after 5000ms
2/24/2026 9:53:37 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:37 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:43 AM | TIMEOUT after 5000ms
2/24/2026 9:53:43 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:43 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:49 AM | TIMEOUT after 5000ms
2/24/2026 9:53:49 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:49 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:53:55 AM | TIMEOUT after 5000ms
2/24/2026 9:53:55 AM | Performing expanded retry scan from top of screen
2/24/2026 9:53:55 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:00 AM | TIMEOUT after 5000ms
2/24/2026 9:54:00 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:00 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:06 AM | TIMEOUT after 5000ms
2/24/2026 9:54:06 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:06 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:12 AM | TIMEOUT after 5000ms
2/24/2026 9:54:12 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:12 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:17 AM | TIMEOUT after 5000ms
2/24/2026 9:54:17 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:17 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:23 AM | TIMEOUT after 5000ms
2/24/2026 9:54:23 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:23 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:29 AM | TIMEOUT after 5000ms
2/24/2026 9:54:29 AM | Performing expanded retry scan from top of screen
2/24/2026 9:54:29 AM | EXPANDED MATCH -> NOT ON FILE
2/24/2026 9:54:35 AM | TIMEOUT after 5000ms
2/24/2026 9:54:35 AM | Performing expanded retry scan from top of screen
