RO number, RO status, Line A, Line B, Line C, Open Date
873562,OPENED,TES WILL NOT CHARGE      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873565,OPENED,MIRROR                   ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,17FEB26
873569,VEH,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,17FEB26
873607,OPENED,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873621,OPENED,CK TIRES                 ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,18FEB26
873634,PREASSIGNED,ICLE WILL NOT MOVE WHEN I,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873640,OPENED,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873656,PREASSIGNED,WON'T START              ,AND FILTER CHANGE SERVICE,SURE AND DOCUMENT TIRE TR,18FEB26
873660,READY TO POST,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,18FEB26
873677,OPENED,CHANGE OIL & FILTER      ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,18FEB26
873678,OPENED,RGE BATTERY JUMP START   ,CK TIRES                 ,LACE 1 TIRE  MOUNT AND BA,18FEB26
873696,LINE ON HOLD,E CURTAIN AIRBAG         ,CTION CONTROL DURING CRUI,CK AND ADJUST TIRE PRESSU,19FEB26
873701,OPENED,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,19FEB26
873715,OPENED,LACE OIL AND FILTER  PERF,T REAR SIDE OF BUMPER REF,CK AND ADJUST TIRE PRESSU,19FEB26
873747,READY TO POST,E CURTAIN AIRBAG         ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,19FEB26
873776,OPENED,CK ENGINE LIGHT ON  DIAG ,ERAL REPAIR              ,ERAL REPAIR              ,19FEB26
873794,READY TO POST,N SIGNAL                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873807,READY TO POST,L TANK AND/OR PCSV CHECK ,L TANK                   ,,20FEB26
873816,OPENED,CHANGE OIL & FILTER      ,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,20FEB26
873821,READY TO POST,OR FAILING               ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873822,READY TO POST,CK TIRES                 ,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,20FEB26
873823,READY TO POST,T REPAIR                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873825,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873827,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873828,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873830,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873832,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873833,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873834,READY TO POST,PERATIVE REAR AND 360 DEG,r Axle Bolt Fractures    ,,20FEB26
873835,READY TO POST,BAG MAY FAIL TO DEPLOY AF,,,20FEB26
873836,READY TO POST,NT CAMERA CALIBRATION    ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873837,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873838,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873839,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873840,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873841,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873842,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873843,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873844,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873845,READY TO POST,WASHER DOESN'T WORK      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873846,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873847,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873848,READY TO POST,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873849,READY TO POST,RGE BATTERY JUMP START   ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873850,PREASSIGNED,CK TIRES                 ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,20FEB26
873851,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873852,READY TO POST,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873853,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873854,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873855,READY TO POST,CHANGE OIL & FILTER & SER,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873856,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873857,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,ATE TIRES                ,CK AND ADJUST TIRE PRESSU,20FEB26
873858,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873859,READY TO POST,CHANGE OIL & FILTER & SER,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873860,READY TO POST,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873861,WORKING,CHANGE OIL & FILTER      ,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,20FEB26
873862,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873863,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873864,READY TO POST,TIRE HAVE A NAIL IN IT   ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873865,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873866,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873867,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873868,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,20FEB26
873869,READY TO POST,LACE 2 TIRES  MOUNT AND B,LACE OIL AND FILTER  PERF,SURE AND DOCUMENT TIRE TR,21FEB26
873870,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873871,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873872,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873873,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873874,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873875,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873876,READY TO POST,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873877,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873878,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873879,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873880,OPENED,LACE 2 TIRES  MOUNT AND B,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,21FEB26
873882,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873883,READY TO POST,CHANGE OIL & FILTER      ,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,21FEB26
873884,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873885,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873886,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873887,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873888,READY TO POST,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873889,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873890,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873895,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873900,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873901,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873902,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873903,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873904,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873905,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873906,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873907,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873908,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873909,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873910,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873911,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873912,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873913,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873914,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873915,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873916,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873917,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873918,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873919,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873920,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873921,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,21FEB26
873922,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873923,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873924,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873925,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873926,READY TO POST,,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873927,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873928,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873929,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873930,READY TO POST,LACE 2 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873931,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873932,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873933,READY TO POST,CK TIRES                 ,LACE 3 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,22FEB26
873934,READY TO POST,,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873935,OPENED,CK TIRES                 ,I91,LACE 2 TIRES  MOUNT AND B,22FEB26
873936,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873937,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873938,READY TO POST,,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873939,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873940,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,LACE OIL AND FILTER  PERF,SURE AND DOCUMENT TIRE TR,22FEB26
873941,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873942,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873943,READY TO POST,LACE 2 TIRES  MOUNT AND B,,CK AND ADJUST TIRE PRESSU,22FEB26
873944,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873945,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873946,READY TO POST,LACE OIL AND FILTER  PERF,LACE 3 TIRES  MOUNT AND B,CK AND ADJUST TIRE PRESSU,22FEB26
873947,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873948,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873949,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873950,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873951,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873952,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873953,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873954,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873955,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873956,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873957,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873958,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873959,READY TO POST,LACE OIL AND FILTER  PERF,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873960,READY TO POST,CK TIRES                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873961,READY TO POST,LACE 1 TIRE  MOUNT AND BA,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873962,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873963,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873964,READY TO POST,CHANGE OIL & FILTER      ,P TIRE ON RIM            ,CK AND ADJUST TIRE PRESSU,22FEB26
873965,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873966,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873967,READY TO POST,AIR 1 TIRE  BALANCE  ADJU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873968,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,22FEB26
873969,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873970,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873971,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873972,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873973,READY TO POST,CK TIRES                 ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873974,READY TO POST,CK AND ADJUST TIRE PRESSU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873975,READY TO POST,CHANGE OIL & FILTER      ,CK TIRES                 ,CK AND ADJUST TIRE PRESSU,23FEB26
873976,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873977,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873978,READY TO POST,CHANGE OIL & FILTER      ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873979,READY TO POST,CK AND ADJUST TIRE PRESSU,,SURE AND DOCUMENT TIRE TR,23FEB26
873980,READY TO POST,CK AND ADJUST TIRE PRESSU,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873982,READY TO POST,CK ENGINE LIGHT ON  DIAG ,,,23FEB26
873983,READY TO POST,OUND INSPECT VEHICLE     ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873984,READY TO POST,OUND INSPECT VEHICLE     ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873985,READY TO POST,CK ENGINE LIGHT ON  DIAG ,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873986,READY TO POST,CK 2ND ROW SEAT SWITCH ON,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873987,READY TO POST,UST TIRE PRESSURE AND RES,CK AND ADJUST TIRE PRESSU,SURE AND DOCUMENT TIRE TR,23FEB26
873988,READY TO POST,2 FAILED ATTEMPTS AT REPA,LACE OIL AND FILTER  PERF,SURE AND DOCUMENT TIRE TR,23FEB26
